1,MU_POSTE_1,1585923013071396,-13263.000000,-407.000000,13671.000000,-12.000000,0.000000,12.000000
2,MU_POSTE_1,1585923013071401,-12585.000000,-1626.000000,14211.000000,-11.000000,-1.000000,12.000000
3,MU_POSTE_1,1585923013071405,-11829.000000,-2835.000000,14664.000000,-10.000000,-2.000000,13.000000
4,MU_POSTE_1,1585923013072615,-10999.000000,-4026.000000,15026.000000,-9.000000,-3.000000,13.000000
5,MU_POSTE_1,1585923013072622,-10103.000000,-5192.000000,15295.000000,-9.000000,-4.000000,13.000000
6,MU_POSTE_1,1585923013072627,-9143.000000,-6327.000000,15471.000000,-8.000000,-5.000000,14.000000
7,MU_POSTE_1,1585923013072632,-8128.000000,-7422.000000,15551.000000,-7.000000,-6.000000,14.000000
8,MU_POSTE_1,1585923013072637,-7062.000000,-8472.000000,15535.000000,-6.000000,-7.000000,14.000000
9,MU_POSTE_1,1585923013072641,-5953.000000,-9470.000000,15423.000000,-5.000000,-8.000000,14.000000
10,MU_POSTE_1,1585923013073807,-4807.000000,-10409.000000,15216.000000,-4.000000,-9.000000,13.000000
11,MU_POSTE_1,1585923013073814,-3631.000000,-11284.000000,14915.000000,-3.000000,-10.000000,13.000000
12,MU_POSTE_1,1585923013073818,-2433.000000,-12089.000000,14523.000000,-2.000000,-10.000000,13.000000
13,MU_POSTE_1,1585923013073823,-1220.000000,-12820.000000,14040.000000,-1.000000,-11.000000,12.000000
14,MU_POSTE_1,1585923013075032,0.000000,-13472.000000,13472.000000,0.000000,-12.000000,12.000000
15,MU_POSTE_1,1585923013075038,1220.000000,-14040.000000,12820.000000,1.000000,-12.000000,11.000000
16,MU_POSTE_1,1585923013075042,2433.000000,-14523.000000,12089.000000,2.000000,-13.000000,10.000000
17,MU_POSTE_1,1585923013075047,3631.000000,-14915.000000,11284.000000,3.000000,-13.000000,10.000000
18,MU_POSTE_1,1585923013075052,4807.000000,-15216.000000,10409.000000,4.000000,-13.000000,9.000000
19,MU_POSTE_1,1585923013076256,5953.000000,-15423.000000,9470.000000,5.000000,-14.000000,8.000000
20,MU_POSTE_1,1585923013076262,7062.000000,-15535.000000,8472.000000,6.000000,-14.000000,7.000000
21,MU_POSTE_1,1585923013076267,8128.000000,-15551.000000,7422.000000,7.000000,-14.000000,6.000000
